Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
3551780	103771000000105	Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551781	103781000000107	Vietnamese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551782	103791000000109	Japanese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551783	103801000000108	Filipino - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551784	103811000000105	Malaysian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551785	103821000000104	Buddhist - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551786	103831000000102	Hindu - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551787	103841000000106	Jewish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551788	103851000000109	Muslim - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551789	103861000000107	Sikh - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551790	103871000000100	Arab - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551791	103881000000103	North African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
"3551792	103891000000101	Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard"
3551793	103911000000103	Iranian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551794	103921000000109	Kurdish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551795	103931000000106	Moroccan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551796	103941000000102	Latin American - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551797	103951000000104	South and Central American - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551798	103961000000101	Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551799	103971000000108	Any other group - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551989	107821000000108	Welsh - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551991	107901000000107	Punjabi - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3556848	494141000000101	White British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3556849	494151000000103	White British - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3556850	494171000000107	White Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3556851	494181000000109	White Irish - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3557656	583491000000107	Ethnic groups (census) NOS	Social Context	Race	SNOMED	Invalid	Non-standard
3557687	592501000000105	New Zealand ethnic group NOS	Social Context	Race	SNOMED	Invalid	Non-standard
3557930	651601000000100	Black Black - other	Social Context	Race	SNOMED	Invalid	Non-standard
3557980	661741000000103	Other Asian	Social Context	Race	SNOMED	Invalid	Non-standard
3558014	668681000000107	Other white ethnic group	Social Context	Race	SNOMED	Invalid	Non-standard
3561337	976561000000107	Ethnic category - 2011 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561338	976581000000103	Ethnic category - 2011 census England and Wales	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561339	976601000000107	Ethnic category - 2011 census Northern Ireland	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561340	976621000000103	Ethnic category - 2011 census Scotland	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561341	976641000000105	White: English or Welsh or Scottish or Northern Irish or British - England and Wales ethnic category 2011 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561342	976841000000109	Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561343	976861000000105	Asian or Asian British: Chinese - England and Wales ethnic category 2011 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3561344	976881000000101	Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
